I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed
615,2724221148,459781296,61621300,289476,44324100,176938
616,1126990729,2990568731,183038400,646874,135862499,475451
617,1603640550,281412097,8764600,50827,3101200,17778
618,478052503,4785282875,84574099,372077,78147000,292628
619,1573491365,297982764,123965700,499580,297962801,995193
620,1568013465,1179646981,38282400,194994,15309900,76405
621,821375655,387457258,185957799,664887,117143501,400024
622,280438199,989136504,318244200,1109820,134810701,471913
623,3359346595,260769680,190783800,731178,279155200,735838
624,1139480241,4963682467,132850001,508801,123838600,413929
625,1558645817,28390849,61208800,269556,49884299,185279
626,3419945743,450305520,71165700,322387,37108301,145707
627,31463177,401493666,124634800,553028,270247500,816656
628,911121383,1568212595,148444700,581712,85653000,280944
629,1099885683,1185457358,60993900,277023,36131800,150466
630,1273429129,4791701843,253257300,869657,216135999,568107
631,1422585877,3971771154,276722601,914928,275642800,869943
632,31233053,3913564663,268697300,1042301,393888000,1124592
633,1101882062,1578752300,161029500,665706,209255099,693620
634,3282110595,4496484589,79910001,370580,31444000,132568
635,3320199084,27117071,25996500,130127,21567700,93860
636,4504460929,725895153,177843301,640165,325224100,1039951
637,412189309,1469954884,274693200,909404,361402801,889865
638,3305788694,421429374,6119301,31837,3624100,16496
639,3455528363,610878928,313042299,946229,341267600,838381
640,252111338,2619059415,250113200,938146,285100999,916940
641,2367786039,261751049,106703499,446256,36803001,149759
642,457055814,318238707,234524800,692467,117769400,404157
643,1656614682,252111213,315453701,1157341,322154101,920876
644,2320886458,1841712380,252064000,942977,265837400,841856
645,1365570761,1262391799,116699001,466164,53646601,195493
646,1096799533,1863685186,170084900,725549,181484901,469786
647,1606653250,125463,255843301,1028746,279254099,946231
648,725895296,225814256,16594401,87097,24572200,100571
649,4616904717,7493319,17690700,96440,15287300,69737
650,999455094,84874972,269946300,1023171,228968599,558779
651,158644453,5007116102,203721299,798083,216668300,671541
652,497375325,316422753,173237201,665692,101795100,330772
653,490368157,1824546790,41571401,174666,40431900,68311
654,21455352,1102717041,329031799,1097849,343139300,970729
655,1412440062,2075367435,272993899,912095,384430400,917507
656,424439743,3682874188,73331700,323892,61134600,242232
657,3499035032,3262417767,248231200,920096,356834001,963822
658,3104429731,454849616,142995100,612508,68701699,244866
659,736974892,925335735,104166700,427743,39093301,165698
660,3021761445,1066061169,4501400,29316,6928000,39869
661,2217381385,560010542,124982500,509163,104797601,366211
662,1848735402,4853218176,140100700,483952,112179800,353921
663,1194798240,255492897,114109101,479381,161754900,550266
664,291856917,3675485227,290282001,1172078,286122400,925704
665,1382236032,1634997207,263224900,921512,339361700,868947
666,746315800,384656345,258301400,1037555,248195800,808973
667,1127767613,462678794,121267501,508224,114588601,324011
668,610713736,1135370514,3323700,10399,3620099,11913
669,5111960924,3910321316,264569200,744457,211026600,577670
670,1279868378,3739701261,39533999,178685,20689100,80295
671,2039102481,2856252475,282294500,1027118,341328699,985845
672,4778465403,618600781,30292901,128155,21540899,70863
673,566486795,1100397734,138074800,487541,72125800,264546
674,3008400423,1727204678,125929900,520321,93295300,276702
675,3284757698,1595224599,1598501,10456,2468001,12583
676,582310887,817213362,5476300,31420,2581500,15346
677,1407495075,698973273,26889801,133271,19142100,92689
678,1231696447,415315430,18220800,100252,8721100,45840
679,2512547037,280445076,124034600,534277,94279199,359458
680,2234989039,474683450,36730900,183252,36428500,145260
681,494615957,4927525165,9539200,48640,8865600,46709
682,3089139917,711900638,108542100,476106,276055000,900314
683,878545837,1084240022,170669300,650618,101865000,381364
684,262353864,330200368,115731000,519996,261278801,897536
685,3899308837,1547413590,150117900,647998,84638600,314647
686,563940599,2514431822,180347399,801914,150345599,490471
687,1853343030,3941318939,260259500,914766,326699500,985064
688,1102894292,4416158432,48264200,188836,44533100,154840
689,3263817533,1102901492,254881601,835800,260910800,645223
690,4352442788,3925055081,77831300,307104,64203100,217855
691,3102627912,1411648001,300770300,922512,365793500,910206
692,4159053787,1256495546,182562600,663473,244628200,583418
693,2058835435,623958,10468501,39730,10098300,35830
694,332643836,1652037876,309275800,751679,124826000,311215
695,1100887916,1707190,330928700,1072107,351713799,952890
696,1181001283,338408624,72110599,326393,42302500,172242
697,7307302,4471462294,300415600,1047493,310753601,1014098
698,1351401695,608647077,343474200,1167386,329613600,979271
699,251126381,1575565650,277708100,1020512,335632599,1047025
700,409486618,2587691137,343452200,1158119,280338500,916858
701,3493556172,259250031,255257899,975147,401478600,946753
702,690044040,17177118,288620300,931677,363707300,941997
703,855657958,130577190,182152100,679489,112262400,345979
704,265786686,1079565536,314282201,1135898,262921500,832493
705,4569433066,281898857,164920899,736773,142820900,512256
706,1385322072,202871692,149103100,485560,61885499,231985
707,2514040209,1693437184,259214699,938687,311707900,1014049
708,289750017,5241876754,143220600,622961,53605201,215006
709,4948381696,727562062,161226900,717376,241047500,781141
710,413671597,2831837590,56116899,256760,35194200,148445
711,283642102,4193656980,332211500,1122777,300992199,965498
712,1345694366,1022981388,171548800,685041,165258801,541929
713,369350531,1225951960,43451800,191717,35243700,126159
714,124145132,260971860,64375400,291984,41728999,162924
715,1607909279,373450347,290843700,941124,113971400,375004
716,282266748,31226526,311469500,1174438,305665301,996937
717,287029230,1165267096,337790501,1084659,151783800,532442
718,1265115399,443392552,1456700,7881,871799,5207
719,4509437484,608538733,271093300,1125801,343068200,915732
720,118648,3163711525,55460199,254346,50915099,202689
721,2301769111,2591864974,273904400,917923,318103500,944716
722,278761529,2430763070,89088300,380669,75546500,261579
723,4543691006,1601468065,57874399,223341,37289199,125749
724,1126422897,252186529,30385200,145674,38200801,151368
725,1421423122,3073713570,243373000,887295,94278000,343207
726,1207267858,3297355501,278487501,961885,283342400,869429
727,425249768,1297531382,272391999,1071228,298446001,982626
728,4645192920,1798761741,189273600,761988,187945100,459751
729,617754491,2970394434,247525400,827821,212923100,659209
730,497329452,3757665249,81446000,386803,116422399,426484
731,1934183988,1165488354,156383599,723280,381036100,1110556
732,278805575,2904689204,111806100,437898,104097199,363260
733,2833199550,30916382,254319900,931418,298363799,924348
734,5008499935,391288766,284542100,987644,248470400,660436
735,309866471,4195271437,411143799,1088950,287705100,878958
736,3327716543,4619249149,186335200,727495,130371600,412909
737,2457629649,4501710554,301305600,1011751,318228500,1012678
738,28390801,2062357343,230242000,895103,304651399,945924
739,85601218,999387311,339084199,972121,318308999,948721
740,5407718914,1145355152,184043500,743620,149148000,508632
741,4185569172,3280257379,262852800,977301,363713900,900032
742,256187789,97986072,31982400,128720,22341700,85579
743,112378859,376680537,266018300,831529,237016200,674045
744,1675999842,279237384,183547599,703462,111513800,380645
745,1601355248,1860818483,36985300,165114,26835899,105592
746,2845762249,1575520688,127611700,392445,116573901,368921
747,3307719112,410646991,13960100,67405,12286601,51856
748,281019886,1022884927,50320299,212266,28375900,111497
749,2584912483,4708998466,339954600,1039035,353844400,889500
750,190709976,21432966,250022300,968263,294989800,942823
751,417645410,427756158,169074701,539150,92129800,306550
752,4048111177,343033311,279507700,1101203,317384100,1006778
753,308443238,27132336,71951600,337979,83912899,156940
754,118032,413583035,131601100,473135,163318501,367228
755,457018424,2728666537,131010799,407363,103928101,340440
756,473198700,1636228109,3381600,17167,7180800,28656
757,4561414920,3374070831,151705199,530369,123901099,337450
758,3237539619,4868596151,119040200,413667,99736301,297080
759,3620355339,1537321012,286351699,829210,472094900,1038184
760,59630052,3275312426,80249500,293377,77007100,223646
761,2423362867,1210799710,98887600,365456,122198601,375065
762,2188424365,1304214534,247556499,853241,239041799,794788
763,97978017,2745464518,313299399,1036526,284063600,929766
764,351863606,117796,169754601,689033,106747400,342024
765,1100400024,17519367,60695200,229306,54670800,225761
766,743064442,890474502,177186200,744321,159088400,469979
767,497512529,276218347,114410400,460447,39049499,148380
768,1564363089,3464230860,193533500,723360,157350699,480895
769,1635245416,290678545,40601799,178973,19495799,77009
770,334218824,476289766,138137400,520209,399653600,894395
771,3200136375,3638789619,12720000,47142,25928400,56952
772,1231715435,3127520990,194830299,558761,244600701,742950
773,280099261,2409931029,3543700,22396,1920501,10793
774,2207396943,4561759697,66250800,281537,38764700,152402
775,252025464,2951240669,175442900,730104,103395101,382358
776,4329791767,664606134,15788300,91211,9874600,47699
777,419633957,479225106,2306000,16085,1335500,9152
778,1349331426,2426540136,272314100,1066952,301842699,925589
779,26675722,1591375419,260846599,1021176,304701600,987919
780,3673871039,289888657,343320199,1039059,317481900,918204
781,1583187484,878545479,15926001,77355,14367400,60698
782,269273466,4791919273,267532100,982072,269259299,890523
783,289807215,10044938,6382100,36369,4193700,16056
784,413379069,428276382,55254600,235120,33568501,135568
785,3928813463,422703786,322161399,1151268,348519501,1046779
786,269939018,2466998527,181950300,686842,99162400,331959
787,415897607,8136352,412017600,1048614,359313100,965362
788,114784000,1175207059,299046100,1153176,246927100,616751
789,255900176,1376265002,204238900,785951,107157800,396410
790,1410860721,294926051,151002201,597233,121427399,372156
791,1517060929,4157904107,6106900,30501,4177100,20653
792,611114285,3297400576,58768699,247052,24847100,112355
793,736974888,1184270020,179968999,649108,105004300,346044
794,1228998523,288003755,307664900,1069792,274833200,738543
795,4561643826,5378307778,17792800,83495,13004900,55597
796,1512075873,846307145,206760800,736808,70787400,245166
797,3228908533,3817357944,32041301,148277,32099400,126636
798,2836516382,3476631700,143293500,572270,90337600,306841
799,261727612,279654711,153000900,478504,54034200,165840
800,3010091255,95168654,67134200,273467,51908001,170913
801,3258103347,2310742209,231637000,784973,163385500,514502
802,501903248,3897585932,28371900,123992,24297200,89398
803,2838661538,2599762707,216092800,748043,110392300,321125
804,2647256343,4721200559,68957699,266715,80201800,244664
805,468483628,4638591473,195026199,748018,142358599,455870
806,390175120,732503128,161382000,733889,296544201,976197
807,1351368510,3827328535,73098599,325896,54558600,204356
808,1468935982,3992394615,154388400,606416,82509999,273186
809,4077236297,289471201,72733601,329582,39831400,152895
810,1612696453,2007093306,337045000,943662,217076399,723723
811,305029248,266224717,56551101,255290,31640600,133455
812,271332788,388583093,142694901,620527,123584701,383082
813,305723372,4313539395,137799699,561713,93234400,269259
814,1085342761,1354036000,39085699,200493,16535701,77155
815,307398242,1100784364,180632600,795400,125521500,467343
816,608647441,436062517,83317700,388053,101722100,401449
817,27535070,1116321459,308094200,1152839,236746401,821120
818,639287710,394945524,230745099,881208,275700599,787486
819,1385296637,888859831,40188300,186770,26898299,116490
820,190756458,2423817321,107211399,426791,26362101,121179
821,3495012294,1182544514,143896000,488865,258196900,788008
822,1384999859,4580850683,266319200,968539,312054100,930513
823,1091187474,28847264,76311800,336377,63100401,248290
824,190805443,1628406094,100823800,415741,83457101,295364
825,3452276691,190826450,10434700,58493,8525700,37911
826,20917732,306245480,116523700,421839,110215400,413426
827,149141946,363755648,160483400,709087,128422999,462528
828,611262251,3280610712,225004600,849734,266502100,746609
829,280724138,1948032605,26895500,133319,12106101,55681
830,442091856,1956310112,296564099,1070437,307391700,990708
831,4715711662,283558464,8790500,47095,6999299,30924
832,29977641,1106227860,132422000,535417,117134299,407892
833,3455421623,2179726251,36911500,185745,18934200,87611
834,1939366474,27224198,11645200,61354,4650300,26387
835,2514867604,2912789525,77346100,262606,22818700,100501
836,1235136419,267370017,166367900,752512,126836199,463272
837,565466684,254910147,2297199,13834,1726799,10396
838,1540050547,613438776,54189200,249611,56788200,226623
839,3793802777,3236802547,157177100,665503,114684599,426835
840,1576504626,189103577,5888801,37697,3629401,13939
841,289408925,4872544980,5501500,34458,4312400,25905
842,3104429758,66531085,34422801,178784,62873100,223148
843,1025540097,414994509,146726600,613596,149611900,474303
844,2899843745,1364844925,87327400,380160,43043100,168146
845,4143274159,321352479,92319300,398102,29969600,116799
846,1159120544,2515577841,86974700,384865,62519100,216652
847,635319927,494530121,40618099,196395,23331500,102640
848,1599149072,2647280608,292569499,1126674,326287400,1058730
849,249495262,3625249722,52631600,244493,65500799,248450
850,3318507545,1194159987,274696300,1080701,161440600,573072
851,898733645,835184775,128510799,382837,49463200,192517
852,2697726461,2423817363,159790200,687054,81871601,312184
853,263396474,831631781,66594101,306776,72868900,267131
854,259715486,1072927348,77573200,372254,121431200,434668
855,3268794298,4283485027,119027199,406920,54200000,215308
856,273772138,288136523,24624500,121992,8865600,49734
857,270128716,2936978905,37248800,187378,19461300,91315
858,1151738311,3331094355,104719700,411031,53496500,212627
859,294740115,279789464,84958499,397457,107539400,390182
860,1311859658,4977350654,172338000,779088,345189701,950113
861,1253173031,4774320803,78249200,358963,42934400,170433
862,119100777,371400655,111120501,467001,73378000,291242
863,3073204945,1145985873,26103600,128037,12816301,59331
864,1547449120,303793337,160353200,693890,73228600,282737
865,1874418838,2709706095,257576400,1063149,294849400,979573
866,4794637444,2158221565,259493500,1032978,328169199,963977
867,1370429512,2476357554,168379701,727893,143883500,476599
868,608553569,2697514249,174287799,721589,189849701,494189
869,5403417405,1202215141,182044300,768529,192394800,636270
870,1558645852,3252476166,161830300,583549,67885499,247838
871,2261184081,3256262543,32823200,150662,12728700,55787
872,4886957465,260996243,111579099,408687,153039301,518987
873,1226078540,5205763393,10125301,56703,3334399,18486
874,280094501,1119749527,145641100,592729,104082200,334890
875,2501613590,4232998983,161653400,685840,212514400,529625
876,417698994,696925354,161745100,633461,111611200,370892
877,284989626,245460375,273192500,1003765,292278800,970983
878,268688018,1141083985,248131900,855762,202081900,668987
879,566448231,290526403,318064100,1018166,286478200,961723
880,1855299882,297783725,63877900,281157,26535699,111012
881,2060272383,3241853194,231888100,922372,291275399,831804
882,264135756,446304024,301629100,1137472,211879399,700704
883,2186142074,27195229,261899699,1062648,345298600,1019961
884,1091674261,94137242,228210400,895203,324420400,945202
885,2338107413,878754778,174512900,789364,315112201,936999
886,1279123570,3182247393,296520001,1156765,284284100,916113
887,1671731970,1230007389,247585201,957510,230070701,773423
888,4774247565,1312184251,162510300,673558,213256500,517439
889,251204557,2801654452,182985500,808090,327589700,1122533
890,111926797,489786355,149743800,639255,138254800,406878
891,34021271,251127217,71049100,331590,60247700,230533
892,876198128,2556190543,275789499,1072926,307155500,1034471
893,1100516064,1260974202,1098399,7335,1079900,7726
894,381939945,3020848639,145552900,654406,238988899,802133
895,1579405469,444927567,17454000,98304,13984200,61065
896,281224946,451765365,148489100,520145,245363699,779417
897,4786923574,1300146463,14636201,76621,7114401,39269
898,383885780,1650403229,148187499,644978,112103000,409527
899,259983873,1089093078,294055900,1161461,322089701,968898
900,777391769,1590984119,158462301,684925,124664500,445452
901,4184219897,279825176,288256300,1090700,328048101,1005820
902,1085946288,1719006703,58931900,265580,73970601,288463
903,477489532,3640873279,260239600,1063819,310757199,978428
904,1181968073,383120151,82835099,338975,88167201,168582
905,1587650091,5183437974,265754099,1080099,300073900,1021826
906,2301769904,2072599145,258233500,931912,346753399,925634
907,1877830933,280698009,101043900,430349,134149100,484178
908,290790221,321356609,298519900,1103169,280696100,918064
909,298466819,3202406271,145225600,631047,290303899,920285
910,1429792760,3062478122,165818300,726614,159571100,537122
911,286992778,5061167010,6214400,33894,9632799,52738
912,2736187202,1271530190,64397800,287351,90474200,317238
913,846266786,403407491,166762500,663315,157022100,510583
914,1578709939,244503215,317087300,1158099,347918899,1055952
915,3954118378,321642384,143058801,594345,117504300,382006
916,616689709,277628576,298817200,1147043,229391299,599856
917,427158214,1144416879,253768201,929288,284575900,966880
918,312319530,715053133,54010801,241799,80718899,144819
919,1697730415,424017255,27390300,140279,37871900,147284
920,327480869,1128417470,997100,5059,617001,3645
921,1315507249,861288311,6082299,34434,4438600,22323
922,1468331575,1601716416,172274400,704959,147167400,480967
923,668007780,1187908643,258030599,871916,262715400,812049
924,1020717239,1685677271,123663600,517459,53197899,213027
925,3488420005,4038962384,173559501,715592,138514199,500044
926,1689446300,1464192616,47863700,213644,16846300,73186
927,2681421245,2570413695,170330700,757771,196341201,596149
928,324646158,2274749194,216609701,851410,266500500,903902
929,1591482192,601064776,112188099,497408,284265500,957563
930,333755684,4913623396,78810100,380124,116396600,436131
931,1224505226,1288216850,85383301,283603,45713599,186876
932,3909463242,211486168,169162300,741821,112217200,413230
933,293216222,29215998,266602100,977960,295648300,940930
934,4687695695,440779772,234415400,905180,104516000,369671
935,410210661,7891269,138039900,588724,228144400,708428
936,1609396077,2116892846,303982401,1093723,308433400,1045345
937,3270669462,1621885032,250469200,996251,368524100,998424
938,1539388227,2367885151,16397400,87180,8884601,39096
939,263407534,3273022413,51626300,213053,39771300,151609
940,1326946619,430428788,184376100,751315,249568800,775768
941,3708638473,312329201,105818001,432266,79137499,300115
942,2611480776,2416519338,9972800,52981,5428700,30529
943,1402895690,1082696981,303427501,1115572,296010300,969440
944,1102728152,525788367,22447799,108545,8245700,42826
945,2207396838,349197589,102566500,422383,44765899,190496
946,3273801152,252437830,52781300,231481,27377400,120609
947,1091388596,4377555966,82398800,370070,65740300,244141
948,459839521,118913,265086700,1072732,284398900,816147
949,1128416343,2668095526,284420200,1171993,330439400,1140078
950,1261131664,3307386259,33481800,163226,15948100,68378
951,401493868,30406647,345477199,1123431,263426900,853148
952,1636917901,462678541,56968200,219077,23223000,92154
953,4122998077,321582379,21805601,97450,8408400,34363
954,1863406154,1142993181,65873500,286243,96499599,368388
955,290295138,1128287846,283170800,1037641,292584401,937889
956,4659340777,1126906401,288254800,1171626,259246400,901546
957,1027331856,446180434,180334301,578326,64241500,253867
958,1590481136,5039751464,262742801,1052771,325691899,1027292
959,333178245,1593954972,79719600,369132,48029701,188078
960,1589598840,1295826092,149763001,648500,165034500,454035
961,303793901,394934350,271463699,1034410,279703799,879196
962,1605608060,289739138,185940899,776327,159090200,520482
963,1185175746,7302081,282671300,1089160,317720700,979650
964,27226070,1175029370,364515400,976291,325672300,916149
965,1141260788,1239241769,84422400,347014,146617800,436601
966,1279334733,3104057955,285640499,975978,292656100,915948
967,1098452791,306245460,76461001,329888,33989601,133772
968,484291112,3129508704,251872400,945274,310043900,802963
969,292945885,1394217824,61991400,290939,35435400,150232
970,957836532,2250913477,238512300,927531,239279400,809169
971,1652748092,3280610763,144320900,631894,134288300,480534
972,3921566621,1234960322,179924000,789153,116046900,442258
973,2908160877,3111243577,195250100,643708,66391600,262999
974,35198275,2502121961,172965699,765679,189117300,652499
975,2525217755,469988120,306820899,1150468,185193300,582742
976,285099336,416622162,38117100,196217,32132499,133155
977,1096112785,3189819496,25239899,129471,9543001,50473
978,3003390992,480847605,57718100,260993,39149900,166834
979,1029473797,5198462573,73279200,341026,29611500,132154
980,469797886,2994865872,269270000,1006156,308994699,1037222
981,4191505684,4492824304,105439300,455596,306101900,823189
982,1136460154,1883735637,158475500,629674,141862700,469146
983,107983659,5151080220,244807300,994890,271235600,866786
984,1229827850,1168781151,166577799,477972,45846799,184699
985,319941069,452638434,36107999,176812,27014100,121223
986,394380586,315184059,31437200,158235,45932800,192349
987,1352357527,1801697736,36154600,163250,23423200,91986
988,280871978,461869017,25043600,117049,15629901,66942
989,576876,5273519553,143151199,658103,274970100,922938
990,190765939,1953132386,70114000,324712,70377900,213912
991,413675371,2042186758,108096001,420677,115249000,424265
992,2745995604,3316304438,216075000,848759,320714800,1115481
993,258581615,130025854,146130401,631731,119306299,362087
994,182801076,38432891,28217400,133366,16848801,77853
995,1168151370,2047308456,26577800,136675,12980199,64630
996,2282438738,506649107,176885400,784378,276706001,937713
997,1107651492,1834314748,84164500,387816,57973799,234192
998,1277695513,937903710,13631599,72487,5968200,33429
999,2516092579,3423279824,52582299,236875,36598900,157015
