I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
235,4376103391,1278816885,351890701,2326708,432485900,2081018,1942299,9288
236,253819315,3239811358,95754801,676217,76446999,414947,1226400,5559
237,582074649,402467376,364305500,2159278,400190199,2016106,2352900,11778
238,3878368981,846225457,39417300,308300,49169400,293556,1333000,5767
239,1650753379,2347166352,69763400,482530,62273800,377090,1202400,6007
240,2188564199,2255788730,371432801,2347589,390914200,2023308,1942500,8769
241,2065210167,850746936,166457000,941152,282282600,1406666,1597199,7114
242,1162382010,424439907,111584301,789957,34750300,236823,1141500,5356
243,1269850155,5419768440,187584099,1388612,486345001,2138312,1937800,9192
244,271681274,280394986,317006299,1764843,124210200,640433,1714699,5952
245,1640995653,99248419,205195199,1472921,249923400,1417244,1554099,7043
246,27165487,3138135483,220893800,1548075,238611001,1273141,1308199,5659
247,311103693,635320201,188623000,1295065,220520300,1146787,1810800,9755
248,124035383,1155140986,307315801,1825964,247523000,1202446,1231500,6147
249,3238754044,3317409503,72013001,535546,100553500,604799,2131799,9302
250,901223913,2688554554,377708600,2246955,207244900,1118446,1440600,6193
251,410361144,4284013401,32688700,239070,8684300,71725,838400,3987
252,4791550450,1823279590,61279699,448256,42097600,285791,641400,2977
253,3228193977,1166776865,208919699,1424245,111035300,660697,1550599,7790
254,417817382,311599934,12821500,97543,6560999,54170,561601,2458
255,571770937,2225797159,362403801,2237168,394482400,2007235,1823100,7777
256,620085186,280718947,292867200,1639446,178111200,886341,1194300,5501
257,244958789,4927543524,436980401,2334218,359033300,1856412,2066701,9118
258,427736920,1944916522,354675600,2272265,535339400,2167781,2195200,11364
259,424017226,4398627463,328280000,2113063,415930501,1779303,2720500,12875
260,4851409523,1070276373,11984699,98686,7013801,55337,260300,948
261,2212866064,4778465393,342056601,1999459,425923801,2088828,2448800,11289
262,530056008,2516115226,39857000,296005,16088999,123440,904700,4849
263,1246819980,2262917413,246826800,1542729,189326800,1056167,1566999,6851
264,1207164870,585141000,386575899,2364530,474282699,1902871,3036400,10010
265,2614063537,3913041047,288343700,1639672,199988399,797757,2528300,9028
266,4875731664,2492646833,135896700,776820,149415000,711371,1958400,6612
267,1786406810,123892699,62123500,394922,62037600,318499,1862800,8538
268,1693549218,3020846146,217712700,1334030,284583200,1370832,1648899,6669
269,1187043118,1972460489,90187300,624623,70778500,359188,1217799,5627
270,392917369,1676966625,247199299,1458101,106025599,576357,1624500,8160
271,1190350140,1096800117,43944600,252272,46401101,266618,1269500,5517
272,292210360,456706084,171154900,1154929,377003801,1793597,1836700,8040
273,1414506599,314755078,320635600,2045494,416199900,2038487,1467000,5691
274,3010869261,1147626393,183917700,1255408,107587199,586103,1896701,9372
275,1022930866,1273418792,32116499,244529,62538001,272630,758900,2933
276,2267212413,1589781505,172860501,1102881,89425800,555280,1532300,6615
277,704344934,5104646731,107898800,793085,82661400,501661,1980101,7811
278,189103621,308659000,9985300,73446,4644400,37892,429500,1935
279,266224557,864034910,240879200,1628121,223579600,1094823,1630200,9209
280,444753847,1770329337,95068100,724715,61140601,386249,1165401,5286
281,1140780394,444733396,131027500,861548,133628201,751272,1327900,6450
282,351861456,420268200,208933000,1423334,149963001,688998,1704201,8948
283,3677937571,356728370,103699800,625705,138914201,631139,2902400,9154
284,3256262584,1484657208,294999601,1852885,333911500,1755949,2316899,11587
285,529831906,95282604,333530100,1876506,371719299,1723668,1779900,7881
286,3174696622,354624156,172633001,842258,135592700,696283,1631400,8113
287,1258382380,4929194739,403409501,2160929,502522700,2136830,2766300,9739
288,679720470,1285515824,290770200,1645448,228495300,888227,3249400,8621
289,3329373834,27136027,78734200,510351,87697701,510793,1484500,5935
290,3120058094,1182725605,313887700,1428538,174919301,670411,2060200,7554
291,280432192,55463148,8316599,62044,8881800,58030,355900,1318
292,582136449,1271491307,65961901,421095,33194000,178056,1352800,7009
293,5329213071,3229025007,300754500,1638470,104988900,573999,2327600,10278
294,7224424,1609396479,219592901,1305389,821976600,2099111,3051700,10333
295,118815,33395303,424300099,1458685,557035900,2013733,4953801,9631
296,4421133545,1367779830,211844000,1312785,114680999,641260,1652599,8384
297,812253449,302778796,74284701,469184,49764500,290388,1011800,4153
298,1231715427,3502493838,58115399,405571,59370900,309454,1078801,5021
299,1578631519,279622753,386179000,2173870,424304899,1910527,2407000,11452
300,2185477320,126617718,422260700,2391971,394576501,1859861,2971199,11542
301,1485015713,3251815008,118611400,823412,105036499,610215,1627100,8951
302,3640514635,251541681,76187300,530968,31573700,218924,561500,2394
303,2187783782,582825561,353542200,2022987,415595899,1975309,2427400,11029
304,1414903751,1250198637,278445200,1275398,90384900,459355,1453100,6102
305,2586426,1102566663,288571500,1406179,257649399,1017856,2548401,9612
306,856664775,333713732,195285801,1079536,201172399,827526,1242099,4854
307,1116275365,1282793017,404827400,2041836,538800200,2087418,2986600,11582
308,582119726,27039715,395184400,2048691,475646100,2001039,3301700,13387
309,1125182327,3757558160,186390200,1147331,98730700,561453,2269100,9171
310,3165565757,112336664,146830499,984066,112645600,627585,1339001,5924
311,294740866,1105271005,336696199,2037357,404129600,1956228,2191200,8769
312,288218451,2064284110,93173299,617904,57679401,329774,896600,3382
313,3957216678,1603880666,4256600,43987,19776000,146796,622600,3050
314,310504114,1234026157,241680800,1674948,459952900,2073159,2147900,11320
315,281707195,842084758,119876300,829547,53893799,349482,1358499,6355
316,126020750,1762198136,108234900,791009,62939999,398706,1100899,5065
317,4307272675,310548915,9511201,91324,4918101,40938,286299,1314
318,3189325413,958431150,108139900,808481,71163501,348301,955300,4689
319,539036709,2357948339,6015500,59457,7261100,55177,288800,918
320,480913474,1546256975,28910500,214197,18533399,136430,520800,2605
321,1315526036,2598646136,315934700,1759255,423446700,1635841,2482200,11219
322,2588080740,25549487,406791600,2189828,493480099,1988431,1782800,8111
323,1699299504,2222287516,209673199,1336421,324471801,1531618,2544401,11970
324,1576077356,510183672,88101199,469599,42867901,271677,1302899,6230
325,1834657559,575384,19462001,165290,30846200,206756,818000,3731
326,30616734,251739588,396545400,2218335,421492500,2010869,1651700,7238
327,1106084599,1295076467,233368101,1614256,270982200,1189593,1723799,7221
328,4198584609,1164767672,411007101,2386793,472609900,2029423,1800900,7510
329,1531139565,4728473135,251590500,1662424,284612000,1087629,1606201,8020
330,1296214256,846310759,251100400,1537868,256704700,1131015,1817801,7586
331,22527627,303793334,425056801,2041183,454814900,1779636,1863501,5924
332,1141455374,252126296,31794600,217566,50372301,271730,1360601,6337
333,1700616017,14791307,63945400,416495,78295900,419135,1255199,4991
334,4941860501,576874269,230690700,1281105,453537400,1871574,2001100,9586
335,4199695630,1533881388,330947600,1828945,519501300,2125439,2185601,10662
336,2423007311,1863486811,420444900,1985706,482960600,1726847,2097100,7532
337,3285693038,2652603797,281292799,1118424,158373601,722615,2009400,7952
338,3255541487,1087007993,125615900,808330,65741899,372227,905500,4757
339,1456755771,1103819952,250523601,1410557,257961299,1202746,2064100,10592
340,271844677,249495287,505584600,2387858,649580600,2195306,2490400,9559
341,279387166,2370448363,271037800,1362976,262522800,1087119,2200400,7856
342,1126788043,1024930845,177613399,1020572,306269400,1326948,2323400,7636
343,1096272881,261756273,275793200,1465727,277445201,1217059,1924400,7578
344,5258438007,4023326097,51579800,338248,32829399,186836,644699,2813
345,2395964677,2984771512,187888801,1100570,176259200,846177,1435200,6734
346,1600079328,1351127423,251021099,1562764,188120800,997635,1710900,8794
347,1165763718,3105371792,20339200,149758,7672300,52420,450000,1392
348,75884326,4961855015,31097601,222380,24918699,163632,845000,4245
