I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
928,290677804,334161142,242744000,1473500,175916500,940237,2003201,9621
929,2897815910,2283127980,31974701,226521,15042701,97600,484999,1962
930,271815195,1167004122,112575500,715511,90697499,494880,1134600,5181
931,1181188182,359153215,452710199,1916467,457975400,1865064,2840101,11390
932,27130602,1181811052,379024900,1915749,550635100,2077270,2170001,9292
933,1599245914,391158221,388971500,2107277,528581100,2101292,2747499,13040
934,3152957423,3913584981,84890300,542122,62699100,350954,1033299,5094
935,1330926382,1084257816,76792701,530866,107712901,599863,1079300,5683
936,5319007216,1467674173,337866100,1915282,278030500,1330860,1906200,7880
937,4849476147,495560775,376130600,2229388,399351900,2045085,1554300,7105
938,1289317688,1467683916,93964200,693637,49531099,329717,859600,4080
939,75614429,316479033,347062000,1673011,361678100,1150113,2165900,11277
940,4618478354,2059672164,339169600,1770323,576489300,1974284,1774601,8359
941,3474815710,337849002,113769500,641827,62064800,319925,38362501,8142
942,1150007573,264991059,161492299,867894,256093601,1007407,2133000,11169
943,4383620870,276199489,375055500,2138414,527906601,2150291,2277600,11633
944,2440444714,5322913419,42676401,286137,45385101,274065,770700,3093
945,1983554842,1177805285,313857001,1771726,444108900,1920188,2745299,11781
946,5242699092,245466461,385242200,2159454,334833900,1108551,1405900,6590
947,3666256531,27166982,408124701,2371266,581380100,2284840,2419699,11176
948,450144757,31460085,90368400,566367,76121100,395015,1403901,5790
949,97980309,302778799,381127601,1905666,426229500,1872178,3313400,9164
950,318236967,2393740180,127030401,856319,181975599,993361,1717100,9280
951,271843752,245404237,364227300,2075521,148037199,785625,1151899,4514
952,3889780909,3758380992,184246100,1298288,482156999,2191436,2133500,10396
953,3339648215,3251873995,194545900,1394918,448148199,2172454,1778200,8952
954,4285184036,4525073310,9405801,83922,4992300,33283,265599,1165
955,3801242448,258410300,344007601,1926123,471450400,2015215,3017100,12780
956,1114550057,258411384,231937599,1597912,373129200,1849580,1719301,8069
957,111558026,3272888980,185668100,1057691,423145500,2031333,2292001,10379
958,1578752620,1297078714,281715901,1686697,188620499,1056836,1246001,6766
